Car ID,Chosen Path,Time Taken,Optimal Path (Empty System),Optimal Time (Empty System)
24,"['Almere', 'Lelystad', 'Emmeloord', 'Lemmer', 'Joure', 'Heerenveen', 'Drachten', 'Groningen']",,"['Almere', 'Lelystad', 'Emmeloord', 'Lemmer', 'Joure', 'Heerenveen', 'Drachten', 'Groningen']",90.72
25,"['Rotterdam', 'Gouda', 'Utrecht']",30,"['Rotterdam', 'Gouda', 'Utrecht']",28.439999999999998
26,"['Rotterdam', 'Dordrecht', 'Moerdijk', 'Breda', 'België', 'Stein', 'Geleen', 'Hoensbroek', 'Heerlen', 'Duitsland', 'Bad Nieuweschans', 'Winschoten', 'Hoogezand', 'Groningen']",,"['Rotterdam', 'Dordrecht', 'Moerdijk', 'Breda', 'België', 'Stein', 'Geleen', 'Hoensbroek', 'Heerlen', 'Duitsland', 'Bad Nieuweschans', 'Winschoten', 'Hoogezand', 'Groningen']",77.33999999999999
27,"['Rotterdam', 'Gouda', 'Utrecht', 'Hilversum', 'Huizen', 'Almere']",57,"['Rotterdam', 'Gouda', 'Utrecht', 'Hilversum', 'Huizen', 'Almere']",53.58
28,"['Utrecht', 'Gouda', 'Rotterdam']",11,"['Utrecht', 'Gouda', 'Rotterdam']",28.439999999999998
29,"['Utrecht', 'Gouda', 'Rotterdam']",11,"['Utrecht', 'Gouda', 'Rotterdam']",28.439999999999998
30,"['Tilburg', 'Breda', 'Raamsdonk', 'Gorinchem', 'Utrecht']",39,"['Tilburg', 'Breda', 'Raamsdonk', 'Gorinchem', 'Utrecht']",49.260000000000005
31,"['Tilburg', 'Breda', 'Raamsdonk', 'Gorinchem', 'Utrecht']",39,"['Tilburg', 'Breda', 'Raamsdonk', 'Gorinchem', 'Utrecht']",49.260000000000005
32,"['Amsterdam', 'Utrecht']",1,"['Amsterdam', 'Utrecht']",15.959999999999999
33,"['Amsterdam', 'Utrecht', 'Waardenburg', ""'s-Hertogenbosch"", 'Eindhoven']",,"['Amsterdam', 'Utrecht', 'Waardenburg', ""'s-Hertogenbosch"", 'Eindhoven']",64.62
34,"['Amsterdam', 'Utrecht', 'Waardenburg', ""'s-Hertogenbosch"", 'Eindhoven']",,"['Amsterdam', 'Utrecht', 'Waardenburg', ""'s-Hertogenbosch"", 'Eindhoven']",64.62
35,"['Amsterdam', 'Hilversum', 'Huizen', 'Almere']",16,"['Amsterdam', 'Hilversum', 'Huizen', 'Almere']",26.939999999999998
36,"['Amsterdam', 'Hilversum', 'Huizen', 'Almere']",16,"['Amsterdam', 'Hilversum', 'Huizen', 'Almere']",26.939999999999998
37,"['Eindhoven', 'Tilburg']",1,"['Eindhoven', 'Tilburg']",11.58
38,"['Eindhoven', 'België', 'Stein', 'Geleen', 'Hoensbroek', 'Heerlen', 'Duitsland', 'Bad Nieuweschans', 'Winschoten', 'Hoogezand', 'Groningen']",,"['Eindhoven', 'België', 'Stein', 'Geleen', 'Hoensbroek', 'Heerlen', 'Duitsland', 'Bad Nieuweschans', 'Winschoten', 'Hoogezand', 'Groningen']",56.63999999999999
39,"['Groningen', 'Hoogezand', 'Winschoten', 'Bad Nieuweschans', 'Duitsland', 'Heerlen', 'Hoensbroek', 'Geleen', 'Stein', 'België', 'Eindhoven']",,"['Groningen', 'Hoogezand', 'Winschoten', 'Bad Nieuweschans', 'Duitsland', 'Heerlen', 'Hoensbroek', 'Geleen', 'Stein', 'België', 'Eindhoven']",56.64
40,"['Groningen', 'Hoogezand', 'Winschoten', 'Bad Nieuweschans', 'Duitsland', 'Heerlen', 'Hoensbroek', 'Geleen', 'Stein', 'België', 'Breda', 'Moerdijk', 'Dordrecht', 'Rotterdam', 'Delft', 'Den Haag']",,"['Groningen', 'Hoogezand', 'Winschoten', 'Bad Nieuweschans', 'Duitsland', 'Heerlen', 'Hoensbroek', 'Geleen', 'Stein', 'België', 'Breda', 'Moerdijk', 'Dordrecht', 'Rotterdam', 'Delft', 'Den Haag']",85.74000000000001
41,"['Den Haag', 'Delft', 'Rotterdam', 'Dordrecht', 'Moerdijk', 'Breda', 'België', 'Stein', 'Geleen', 'Hoensbroek', 'Heerlen', 'Duitsland', 'Bad Nieuweschans', 'Winschoten', 'Hoogezand', 'Groningen']",,"['Den Haag', 'Delft', 'Rotterdam', 'Dordrecht', 'Moerdijk', 'Breda', 'België', 'Stein', 'Geleen', 'Hoensbroek', 'Heerlen', 'Duitsland', 'Bad Nieuweschans', 'Winschoten', 'Hoogezand', 'Groningen']",85.74
42,"['Den Haag', 'Delft', 'Rotterdam']",8,"['Den Haag', 'Delft', 'Rotterdam']",8.399999999999999
43,"['Almere', 'Huizen', 'Hilversum', 'Utrecht']",20,"['Almere', 'Huizen', 'Hilversum', 'Utrecht']",25.14
44,"['Almere', 'Huizen', 'Hilversum', 'Utrecht']",20,"['Almere', 'Huizen', 'Hilversum', 'Utrecht']",25.14
45,"['Almere', 'Huizen', 'Hilversum', 'Utrecht']",20,"['Almere', 'Huizen', 'Hilversum', 'Utrecht']",25.14
46,"['Almere', 'Huizen', 'Hilversum', 'Utrecht', 'Gorinchem', 'Raamsdonk', 'Breda', 'Tilburg']",,"['Almere', 'Huizen', 'Hilversum', 'Utrecht', 'Gorinchem', 'Raamsdonk', 'Breda', 'Tilburg']",74.4
47,"['Almere', 'Huizen', 'Hilversum', 'Utrecht', 'Waardenburg', ""'s-Hertogenbosch"", 'Eindhoven']",,"['Almere', 'Huizen', 'Hilversum', 'Utrecht', 'Waardenburg', ""'s-Hertogenbosch"", 'Eindhoven']",73.8
48,"['Almere', 'Huizen', 'Hilversum', 'Amsterdam', 'Schiphol', 'Leiden', 'Den Haag']",,"['Almere', 'Huizen', 'Hilversum', 'Amsterdam', 'Schiphol', 'Leiden', 'Den Haag']",55.67999999999999
49,"['Rotterdam', 'Dordrecht', 'Moerdijk', 'Breda', 'België', 'Stein', 'Geleen', 'Hoensbroek', 'Heerlen', 'Duitsland', 'Bad Nieuweschans', 'Winschoten', 'Hoogezand', 'Groningen']",,"['Rotterdam', 'Dordrecht', 'Moerdijk', 'Breda', 'België', 'Stein', 'Geleen', 'Hoensbroek', 'Heerlen', 'Duitsland', 'Bad Nieuweschans', 'Winschoten', 'Hoogezand', 'Groningen']",77.33999999999999
50,"['Rotterdam', 'Delft', 'Den Haag']",4,"['Rotterdam', 'Delft', 'Den Haag']",8.399999999999999
51,"['Rotterdam', 'Delft', 'Den Haag']",4,"['Rotterdam', 'Delft', 'Den Haag']",8.399999999999999
52,"['Rotterdam', 'Delft', 'Den Haag']",4,"['Rotterdam', 'Delft', 'Den Haag']",8.399999999999999
53,"['Utrecht', 'Gorinchem', 'Raamsdonk', 'Breda', 'Tilburg']",35,"['Utrecht', 'Gorinchem', 'Raamsdonk', 'Breda', 'Tilburg']",49.26
54,"['Utrecht', 'Waardenburg', ""'s-Hertogenbosch"", 'Eindhoven']",35,"['Utrecht', 'Waardenburg', ""'s-Hertogenbosch"", 'Eindhoven']",48.66
