Car ID,Chosen Path,Time Taken,Optimal Path (Empty System),Optimal Time (Empty System)
63,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
64,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
65,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
66,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
67,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
68,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
69,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
70,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
71,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
72,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
73,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
74,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
75,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
76,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
77,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
78,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
79,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
80,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
81,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
82,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
83,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
84,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
85,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
86,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
87,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
88,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
89,"['City 1', 'B', 'C', 'City 2']",,"['City 1', 'A', 'C', 'City 2']",102.0
